timestamp,duration_ms,type,ear_min,ear_avg
2025-10-17 19:45:12,327,dash,0.2287,
2025-10-17 19:45:12,63,dot,0.2367,
2025-10-17 19:45:12,62,dot,0.2331,
2025-10-17 19:45:12,61,dot,0.2332,
2025-10-17 19:45:13,88,dot,0.2292,
2025-10-17 19:45:14,471,dash,0.2207,
2025-10-17 19:45:14,482,dash,0.2236,
2025-10-17 19:45:15,298,dot,0.2233,
2025-10-17 19:45:15,610,dash,0.2259,
2025-10-17 19:45:16,462,dash,0.2254,
2025-10-17 19:45:16,463,dash,0.2341,
2025-10-17 19:45:16,91,dot,0.2385,
2025-10-17 19:45:17,63,dot,0.2382,
2025-10-17 19:45:17,106,dot,0.221,
2025-10-17 19:45:17,299,dot,0.2216,
2025-10-17 19:45:18,141,dot,0.2203,
2025-10-17 19:45:18,200,dot,0.2261,
2025-10-17 19:45:18,107,dot,0.2255,
2025-10-17 19:45:18,78,dot,0.2202,
2025-10-17 19:45:19,294,dot,0.229,
2025-10-17 19:45:19,630,dash,0.2315,
2025-10-17 19:45:20,257,dot,0.2241,
2025-10-17 19:45:20,65,dot,0.222,
2025-10-17 19:45:20,65,dot,0.2292,
2025-10-17 19:45:21,186,dot,0.2203,
2025-10-17 19:45:21,66,dot,0.2223,
2025-10-17 19:45:21,328,dash,0.2233,
2025-10-17 19:45:21,122,dot,0.2207,
2025-10-17 19:45:22,128,dot,0.2259,
2025-10-17 19:45:22,222,dot,0.2246,
2025-10-17 19:45:23,263,dot,0.2309,
2025-10-17 19:45:23,62,dot,0.2224,
2025-10-17 19:45:23,124,dot,0.2319,
2025-10-17 19:45:23,76,dot,0.2251,
2025-10-17 19:45:23,125,dot,0.2269,
2025-10-17 19:45:24,81,dot,0.2336,
2025-10-17 19:45:24,62,dot,0.222,
2025-10-17 19:45:24,123,dot,0.2337,
2025-10-17 19:45:24,63,dot,0.223,
2025-10-17 19:45:24,94,dot,0.2259,
2025-10-17 19:45:25,328,dash,0.2227,
2025-10-17 19:45:25,187,dot,0.2223,
2025-10-17 19:45:25,249,dot,0.2204,
2025-10-17 19:45:26,173,dot,0.222,
2025-10-17 19:45:26,171,dot,0.2295,
2025-10-17 19:45:26,75,dot,0.2285,
2025-10-17 19:45:26,95,dot,0.2308,
2025-10-17 19:45:26,60,dot,0.2225,
2025-10-17 19:45:27,124,dot,0.2232,
2025-10-17 19:45:27,437,dash,0.2211,
2025-10-17 19:45:27,113,dot,0.229,
2025-10-17 19:45:27,156,dot,0.2234,
2025-10-17 19:45:28,518,dash,0.2215,
2025-10-17 19:45:28,96,dot,0.2253,
2025-10-17 19:45:28,150,dot,0.2239,
2025-10-17 19:45:29,408,dash,0.2428,
2025-10-17 19:45:29,62,dot,0.2251,
2025-10-17 19:45:30,202,dot,0.2237,
2025-10-17 19:45:30,63,dot,0.2232,
2025-10-17 19:45:30,96,dot,0.2409,
2025-10-17 19:45:30,124,dot,0.2268,
2025-10-17 19:45:30,259,dot,0.228,
2025-10-17 19:45:31,532,dash,0.2299,
2025-10-17 19:45:31,94,dot,0.2204,
2025-10-17 19:45:33,1783,dash,0.2223,
2025-10-17 19:45:33,139,dot,0.2308,
2025-10-17 19:45:33,90,dot,0.2282,
2025-10-17 19:45:35,2018,dash,0.2201,
2025-10-17 19:45:36,139,dot,0.2432,
2025-10-17 19:45:36,285,dot,0.237,
2025-10-17 19:45:36,124,dot,0.2397,
2025-10-17 19:45:37,158,dot,0.2468,
2025-10-17 19:45:37,95,dot,0.2326,
2025-10-17 19:45:37,94,dot,0.2308,
2025-10-17 19:45:37,63,dot,0.2224,
2025-10-17 19:45:38,1310,dash,0.2408,
2025-10-17 19:45:39,138,dot,0.2316,
2025-10-17 19:45:39,169,dot,0.2236,
2025-10-17 19:45:39,327,dash,0.2269,
2025-10-17 19:45:40,439,dash,0.2243,
2025-10-17 19:45:40,94,dot,0.2229,
2025-10-17 19:45:40,442,dash,0.2316,
2025-10-17 19:45:40,63,dot,0.2352,
2025-10-17 19:45:41,276,dot,0.2287,
2025-10-17 19:45:42,171,dot,0.2324,
2025-10-17 19:45:42,62,dot,0.233,
2025-10-17 19:45:42,178,dot,0.2233,
2025-10-17 19:45:42,187,dot,0.2314,
2025-10-17 19:45:43,1129,dash,0.224,
2025-10-17 19:45:44,61,dot,0.2249,
2025-10-17 19:45:44,61,dot,0.2281,
2025-10-17 19:45:44,175,dot,0.2221,
2025-10-17 19:45:45,216,dot,0.2204,
2025-10-17 19:45:45,549,dash,0.2269,
2025-10-17 19:45:45,204,dot,0.236,
2025-10-17 19:45:46,65,dot,0.2282,
2025-10-17 19:45:47,139,dot,0.2235,
2025-10-17 19:45:47,171,dot,0.2294,
2025-10-17 19:45:47,60,dot,0.2358,
2025-10-17 19:45:48,110,dot,0.2367,
2025-10-17 19:45:48,169,dot,0.2315,
2025-10-17 19:45:48,93,dot,0.23,
2025-10-17 19:45:48,61,dot,0.2208,
2025-10-17 19:45:49,124,dot,0.2371,
2025-10-17 19:45:49,67,dot,0.2234,
2025-10-17 19:45:49,261,dot,0.2366,
2025-10-17 19:45:50,329,dash,0.2233,
2025-10-17 19:45:50,62,dot,0.2235,
2025-10-17 19:45:51,868,dash,0.223,
2025-10-17 19:45:52,200,dot,0.224,
2025-10-17 19:45:52,206,dot,0.2217,
2025-10-17 19:45:52,156,dot,0.2261,
2025-10-17 19:45:53,93,dot,0.2268,
2025-10-17 19:45:53,79,dot,0.2241,
2025-10-17 19:45:53,391,dash,0.2216,
2025-10-17 19:45:53,172,dot,0.228,
2025-10-17 19:45:54,60,dot,0.2214,
2025-10-17 19:45:54,91,dot,0.2355,
2025-10-17 19:45:54,415,dash,0.22,
2025-10-17 19:45:54,109,dot,0.2327,
2025-10-17 19:45:55,92,dot,0.2385,
2025-10-17 19:45:57,407,dash,0.2296,
2025-10-17 19:45:57,506,dash,0.2262,
